2016-10-07 16:22:51,373 [Worker-481] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\USU Assignment\USU-Assignment\CS5700 - Object Oriented Software Development\Assignment 2\Assignment 2\src\main\resources
2016-10-07 16:22:51,375 [Worker-481] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-07 16:22:51,381 [Worker-481] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\USU Assignment\USU-Assignment\CS5700 - Object Oriented Software Development\Assignment 2\Assignment 2\src\test\resources
2016-10-07 16:24:49,709 [Worker-480] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-07 16:24:49,713 [Worker-480] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\USU Assignment\USU-Assignment\CS5700 - Object Oriented Software Development\Assignment 2\Assignment 2\src\main\resources
2016-10-07 16:24:49,714 [Worker-480] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-07 16:24:49,719 [Worker-480] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\USU Assignment\USU-Assignment\CS5700 - Object Oriented Software Development\Assignment 2\Assignment 2\src\test\resources
2016-10-07 16:25:26,776 [Worker-480] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-07 16:25:26,780 [Worker-480] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\USU Assignment\USU-Assignment\CS5700 - Object Oriented Software Development\Assignment 2\Assignment 2\src\main\resources
2016-10-07 16:25:26,781 [Worker-480] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-07 16:25:26,786 [Worker-480] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\USU Assignment\USU-Assignment\CS5700 - Object Oriented Software Development\Assignment 2\Assignment 2\src\test\resources
2016-10-07 16:25:48,040 [Worker-485] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-07 16:25:48,044 [Worker-485] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\USU Assignment\USU-Assignment\CS5700 - Object Oriented Software Development\Assignment 2\Assignment 2\src\main\resources
2016-10-07 16:25:48,045 [Worker-485] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-07 16:25:48,050 [Worker-485] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\USU Assignment\USU-Assignment\CS5700 - Object Oriented Software Development\Assignment 2\Assignment 2\src\test\resources
2016-10-07 16:26:55,609 [Worker-486] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-07 16:26:55,614 [Worker-486] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\USU Assignment\USU-Assignment\CS5700 - Object Oriented Software Development\Assignment 2\Assignment 2\src\main\resources
2016-10-07 16:26:55,615 [Worker-486] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-07 16:26:55,619 [Worker-486] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\USU Assignment\USU-Assignment\CS5700 - Object Oriented Software Development\Assignment 2\Assignment 2\src\test\resources
2016-10-07 16:59:57,222 [Worker-503] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-07 16:59:57,229 [Worker-503] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\USU Assignment\USU-Assignment\CS5700 - Object Oriented Software Development\Assignment 2\Assignment 2\src\main\resources
2016-10-07 16:59:57,230 [Worker-503] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-07 16:59:57,233 [Worker-503] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\USU Assignment\USU-Assignment\CS5700 - Object Oriented Software Development\Assignment 2\Assignment 2\src\test\resources
